chr	pos	pos2	p.value	test.s	con.s	test.s2	con.s2	test.mC	con.mC	test.mC2	con.mC2	test.post	con.post	test.post2	con.post2	meanDiff	DM.p	DM.status	index	meanCov.test	meanCov.control
chr1	38068491	38068492	0.0256	0.5:1:0.5:1	0:0:0:0	0.5:0:0:0	0:0:0:0	0.62:1:0.44:0.75	0:0:0:0	0.78:0:0:0	0:0:0:0	0.93:0.97:1:0.77	1:1:1:1	0.57:1:1:1	1:1:1:1	0.7048	hyper	hyper	19698	9.5	13.25
chr1	38070134	38070148	0.0256	1:0:0:1	0:0:0:0	0.5:0.5:0:1	0:0:0:0	1:0:0:0.82	0:0:0:0.07	0.33:0.5:0:0.78	0:0:0:0	1:1:1:0.97	1:1:1:1	0.83:0.97:1:0.73	1:1:1:1	0.4379	hyper	hyper	19808	8.25	9.75
chr1	38074233	38074234	0.007	0:0:0:0	1:1:0:0.5	0:0:0:0	1:1:0:0.5	0:0:0:0	0.89:0.87:0:0.7	0:0:0:0	0.93:0.73:0:0.65	1:1:1:1	1:0.97:1:0.9	1:1:1:1	1:0.53:1:1	-0.6139	hypo	hypo	20131	12.5	19
chr1	38077449	38077455	0.0396	0:0:0:0	1:1:0:1	0:0.5:0.5:0	0:0:0:1	0:0:0:0	1:1:0:0.93	0:0.57:0.67:0	0:0:0.08:0.69	1:1:1:1	1:0.97:1:1	1:0.97:0.9:1	1:1:1:0.57	-0.7322	hypo	hypo	20234	11.75	11
chr1	38077511	38077512	0.0256	0.5:0:0:1	0:0:0:0	0.5:0.5:0.5:0	0:0:0:0	0.44:0:0:1	0:0:0:0	0.62:0.57:0.51:0	0:0:0:0	1:1:1:1	1:1:1:1	1:1:1:1	1:1:1:1	0.3611	hyper	hyper	20246	11.75	11
chr1	38080973	38080975	0.0242	0:0:0.5:0.5	0.5:1:1:0.5	0:0:0:0	0.5:1:0:0.5	0:0:0.67:0.73	0.72:0.74:0.81:0.47	0.05:0:0:0	0.68:0.73:0:0.45	1:1:0.93:0.6	0.73:0.57:0.93:1	1:1:1:1	1:0.57:1:1	-0.3329	hypo	hypo	20374	18.75	21.75
chr1	38080975	38080976	0.007	0:0:0:0	0.5:1:0:0.5	0:0:0:0	0.5:0:0.5:0.5	0.05:0:0:0	0.68:0.73:0:0.45	0:0:0:0	0.5:0:0.52:0.47	1:1:1:1	1:0.57:1:1	1:1:1:1	1:1:0.97:1	-0.4546	hypo	hypo	20375	14.5	22.25
chr1	38081493	38081498	0.0256	1:1:1:0	0:0:0:0	0:0:1:1	0:0:0:0.5	0.8:0.95:0.8:0	0:0:0:0	0:0:0.8:0.79	0:0:0:0.73	0.73:0.97:0.97:1	1:1:1:1	1:1:0.87:0.97	1:1:1:0.6	0.6386	hyper	hyper	20397	20.25	22.5
chr1	38119924	38119925	0.0014	0.5:0.5:0:0.5	0:0:0:0	1:1:0.5:0.5	0:0:0:0	0.33:0.6:0:0.5	0:0:0:0	1:0.88:0.58:0.67	0:0:0:0	0.83:0.97:1:1	1:1:1:1	1:0.93:1:1	1:1:1:1	0.3583	hyper	hyper	20501	5.5	8.75
chr1	38119925	38119926	0.0014	1:1:0.5:0.5	0:0:0:0	1:0:1:0.5	0:0:0:0	1:0.88:0.58:0.67	0:0:0:0	1:0:1:0.5	0:0:0:0	1:0.93:1:1	1:1:1:1	1:1:1:1	1:1:0.97:1	0.7796	hyper	hyper	20502	9.75	9
chr1	38119946	38119947	0.007	1:1:0.5:0	0:0:0:0	0:0.5:1:0.5	0:0:0:0	1:0.8:0.58:0	0:0:0:0	0:0.62:0.81:0.33	0:0:0:0	1:0.73:1:1	1:1:1:1	1:0.73:0.67:0.7	1:1:1:0.97	0.5958	hyper	hyper	20505	5.5	8.75
chr1	38119947	38119951	0.0256	0:0.5:1:0.5	0:0:0:0	0:1:0:1	0:0:0:0	0:0.62:0.81:0.33	0:0:0:0	0:0.8:0:1	0:0:0:0	1:0.73:0.67:0.7	1:1:1:0.97	1:0.83:1:1	1:1:1:1	0.4415	hyper	hyper	20506	9.75	9
chr1	38120028	38120037	0.007	0:0:1:0.5	0:0:0:0	0.5:1:1:1	0:0:0:0	0:0.25:0.81:0.33	0:0:0:0	0.33:0.8:0.83:1	0:0:0:0	1:0.7:0.97:0.9	1:1:1:1	0.8:0.67:0.9:1	1:1:1:1	0.3478	hyper	hyper	20536	9.75	9
chr1	38120037	38120038	2e-04	0.5:1:1:1	0:0:0:0	0.5:0.5:0.5:1	0:0:0:0	0.33:0.8:0.83:1	0:0:0:0	0.5:0.62:0.65:1	0:0:0:0	0.8:0.67:0.9:1	1:1:1:1	1:0.73:0.77:1	1:1:1:1	0.7416	hyper	hyper	20537	5.5	8.75
chr1	38120038	38120039	0.0256	0.5:0.5:0.5:1	0:0:0:0	0:1:0:0	0:0:0:0	0.5:0.62:0.65:1	0:0:0:0	0:0.8:0:0	0:0:0:0	1:0.73:0.77:1	1:1:1:1	1:0.63:1:1	1:1:1:1	0.6947	hyper	hyper	20538	9.75	9
chr1	38120051	38120060	0.007	0:0.5:0.5:1	0:0:0:0	0.5:0:0.5:1	0:0:0:0	0:0.75:0.42:1	0:0:0:0	0.5:0:0.65:0.67	0:0:0:0	1:0.7:0.97:1	1:1:1:1	1:1:0.93:0.63	1:1:1:1	0.5433	hyper	hyper	20544	9.75	9
chr1	38120095	38120096	0.0256	0:0.5:1:0	0:0:0:0	0:0.5:0.5:0.5	0:0:0:0	0:0.65:0.74:0.04	0:0:0:0	0:0.5:0.65:0.4	0:0:0:0	1:1:0.67:0.97	1:1:1:1	1:1:0.73:1	1:1:1:1	0.3584	hyper	hyper	20550	27.5	25.5
chr1	38120096	38120097	0.0256	0:0.5:0.5:0.5	0:0:0:0	0.5:1:0:0	0:0:0:0	0:0.5:0.65:0.4	0:0:0:0	0.73:0.9:0:0	0:0:0:0	1:1:0.73:1	1:1:1:1	0.8:0.97:1:1	1:1:1:1	0.388	hyper	hyper	20551	30.25	18.5
chr1	38120123	38120124	0.0406	0:0.5:0.5:0.5	0:0:0.5:0	0:0.5:0.5:0.5	0:1:0:0	0:0.8:0.79:0.6	0:0:0.57:0	0:0.45:0.5:0.5	0:0.82:0:0	1:0.53:0.53:1	1:1:1:1	1:1:1:1	1:0.8:1:1	0.4059	hyper	hyper	20562	27.5	25.5
chr1	38120132	38120133	0.0256	0.5:0.5:0:0	0:0:0:0	0.5:0:1:0.5	0:0:0:0	0.77:0.75:0:0	0:0:0:0	0.57:0:0.97:0.6	0:0:0:0	0.63:0.7:1:1	1:1:1:1	0.93:1:1:1	1:1:1:1	0.3798	hyper	hyper	20564	27.5	25.5
chr1	38120133	38120134	0.007	0.5:0:1:0.5	0:0:0:0	1:0:0.5:0.5	0:0:0:0	0.57:0:0.97:0.6	0:0:0:0	0.85:0:0.49:0.48	0.02:0:0:0	0.93:1:1:1	1:1:1:1	0.77:1:1:1	1:1:1:1	0.5328	hyper	hyper	20565	30.25	18.5
chr1	38120134	38120135	0.0256	1:0:0.5:0.5	0:0:0:0	0.5:0.5:0:0	0:0:0:0	0.85:0:0.49:0.48	0.02:0:0:0	0.57:0.59:0:0	0:0:0:0	0.77:1:1:1	1:1:1:1	0.9:1:1:1	1:1:1:1	0.4486	hyper	hyper	20566	27.5	25.5
chr1	38120156	38120164	0.0256	0.5:0:0.5:1	0:0:0:0	1:0:1:0	0:0:0:0	0.39:0:0.68:0.79	0.02:0:0:0	0.82:0:0.83:0	0:0:0:0	0.97:1:0.73:0.77	1:1:1:1	0.67:1:0.8:1	1:1:1:1	0.4586	hyper	hyper	20573	30.25	18.5
chr1	38120168	38120180	0.007	0.5:1:0.5:0.5	0:0:0:0	0:1:0:1	0:0:0:0	0.48:1:0.33:0.59	0:0:0:0	0:1:0:0.81	0:0:0:0	1:1:0.83:1	1:1:1:1	1:1:1:0.8	1:1:1:1	0.6018	hyper	hyper	20577	16.25	6
chr1	38120466	38120467	0.0406	0:0.5:1:1	0:0:0:0	1:1:1:0	0:1:0:0	0:0.5:0.75:0.8	0:0:0:0	0.83:1:0.8:0	0:0.82:0:0	1:1:0.93:0.77	1:1:1:1	0.9:1:0.93:0.97	1:0.83:1:1	0.5125	hyper	hyper	20587	5.25	13
chr1	38120467	38120470	0.0406	1:1:1:0	0:1:0:0	1:1:0.5:0	0:0:0:0	0.83:1:0.8:0	0:0.82:0:0	1:0.75:0.5:0.2	0:0:0:0	0.9:1:0.93:0.97	1:0.83:1:1	1:0.73:1:0.97	1:1:1:1	0.4524	hyper	hyper	20588	4	14.75
chr1	38120516	38120518	0.0182	0.5:0:1:0.5	0:0:0:0	0.5:0:1:0.5	0:0:0:1	0.33:0:0.8:0.33	0:0:0:0	0.62:0:0.75:0.4	0:0:0:0.8	0.83:1:0.83:0.9	1:1:1:1	1:1:0.83:1	1:1:1:0.73	0.3667	hyper	hyper	20592	4	14.75
chr1	38126554	38126585	0.0396	0.5:0:0:0	1:1:1:0	0:0:0:0.5	1:0:0:0	0.47:0:0:0	0.7:0.79:0.79:0	0:0:0.06:0.62	0.8:0:0:0	1:0.97:1:1	0.53:0.63:0.57:1	1:1:1:1	0.93:1:1:1	-0.4527	hypo	hypo	20612	12.25	14.25
chr1	38143280	38143281	0.0182	1:0:0.5:0.5	0:0:0:0	0.5:1:0.5:0	0:0:1:0	0.83:0:0.5:0.5	0:0:0:0	0.55:1:0.33:0	0:0:0.84:0	0.83:1:1:1	1:1:1:1	1:1:0.87:1	1:1:0.8:1	0.4583	hyper	hyper	20635	7.25	18
chr1	38143438	38143446	0.0182	0:0:0:0	0.5:0.5:0.5:1	0:0:0:1	1:0:0.5:0	0:0:0:0	0.68:0.67:0.56:1	0:0:0:0.89	0.89:0:0.64:0	1:1:1:1	0.57:0.97:1:0.97	1:1:1:0.97	0.97:1:0.97:1	-0.7277	hypo	hypo	20649	6	20.5
chr1	38254378	38254379	0.0438	0.5:0.5:0.5:0.5	0:0:0.5:0	0:0.5:1:0.5	0:1:0:1	0.58:0.69:0.58:0.58	0:0:0.5:0	0:0.5:0.91:0.57	0:1:0:0.92	0.97:0.7:0.97:1	1:1:1:1	1:1:0.97:0.97	1:1:1:1	0.4852	hyper	hyper	20713	29	9.75
chr1	38258594	38258649	0.0242	0:0:0.5:0	1:1:0:1	0.5:0:0:0	0.5:0.5:0.5:1	0:0.25:0.33:0	0.97:0.88:0:0.83	0.5:0:0:0	0.64:0.54:0.57:0.71	1:0.87:0.73:1	1:0.73:1:0.9	1:1:1:1	0.87:1:0.97:0.8	-0.5248	hypo	hypo	20739	3	23
chr1	38338496	38338507	0.0242	0.5:1:0.5:0.5	0:0:0:0.5	1:1:0:1	0:0:0.5:0	0.73:1:0.57:0.33	0:0:0:0.33	0.85:1:0:0.8	0:0:0.42:0	0.67:1:1:0.73	1:1:1:0.93	0.77:1:1:0.73	1:1:1:1	0.5747	hyper	hyper	20900	7.5	8.75
chr1	38362155	38362156	0.0256	0:0:0:0	0.5:0.5:0.5:0	0:0:0:0	0.5:0:0:0.5	0:0:0:0	0.5:0.4:0.57:0	0:0:0:0	0.78:0:0:0.61	1:1:1:1	1:1:1:1	1:1:1:1	0.7:1:1:1	-0.3678	hypo	hypo	21078	26	22.75
chr1	38367749	38367752	0.0242	0:0.5:0:0	0.5:0.5:1:0	0.5:0:0:0	1:0.5:1:1	0:0.57:0:0	0.5:0.4:1:0	0.5:0:0:0	1:0.6:0.75:0.93	1:1:1:1	0.97:1:0.97:1	1:1:1:1	1:1:0.63:0.97	-0.3321	hypo	hypo	21154	6	8.5
chr1	38378466	38378482	0.0406	0:0.5:0.5:0.5	0:0:0:0	0:0.5:1:0.5	0.5:0:0:0	0:0.75:0.68:0.33	0:0:0:0	0:0.65:0.9:0.5	0.5:0:0:0	0.97:0.6:0.73:0.83	1:1:1:1	1:0.83:0.9:1	1:1:1:1	0.4416	hyper	hyper	21204	22	15
chr1	38380463	38380466	0.0462	1:1:0:0	0.5:0:0:0	1:0:0:0	0.5:0:0.5:0	0.72:1:0:0	0.4:0:0:0	0.89:0:0:0	0.4:0:0.45:0	0.6:1:1:1	0.97:1:1:1	0.97:1:1:1	1:1:0.97:1	0.3306	hyper	hyper	21341	19.75	19
chr1	38454414	38454461	0.0256	0:0:0:0	1:0:0.5:0	0:0:0:0	0.5:0.5:1:0	0:0:0:0	0.79:0:0.43:0	0:0:0:0	0.75:0.43:1:0	1:1:1:1	0.73:1:1:1	1:1:1:1	0.6:1:1:1	-0.3051	hypo	hypo	21511	14.5	12
chr1	38638311	38638312	0.0378	0.5:0.5:0:0.5	1:1:1:1	0:0:0:0	0:0:0:0	0.35:0.73:0:0.56	0.96:0.8:1:0.95	0:0.06:0:0	0:0:0:0	1:0.67:1:1	1:0.97:1:1	1:0.97:1:1	1:1:1:1	-0.5182	hypo	hypo	21674	17.75	26
chr1	38638321	38638322	2e-04	0:0:0:0	1:1:1:1	0:0.5:0:0	1:1:1:1	0:0:0:0	1:1:0.96:1	0:0.5:0:0	1:1:1:0.94	1:1:1:1	1:1:1:1	1:1:1:1	1:1:1:1	-0.9891	hypo	hypo	21676	17.75	26
chr1	38638322	38638363	2e-04	0:0.5:0:0	1:1:1:1	0:0:0:0	1:1:1:1	0:0.5:0:0	1:1:1:0.94	0:0:0:0	0.81:0.8:1:1	1:1:1:1	1:1:1:1	1:1:1:1	1:0.93:1:1	-0.8611	hypo	hypo	21677	20.25	31.25
chr1	38638363	38638364	0.0014	0:0:0:0	1:1:1:1	0:0:0.5:0	1:0:1:1	0:0:0:0	0.81:0.8:1:1	0:0:0.62:0.04	1:0:0.88:0.76	1:1:1:1	1:0.93:1:1	1:1:1:1	1:1:1:0.93	-0.9037	hypo	hypo	21678	17.75	26
chr1	38638364	38638367	0.0014	0:0:0.5:0	1:0:1:1	0:0:0:0	1:1:1:1	0:0:0.62:0.04	1:0:0.88:0.76	0:0:0:0	1:1:1:1	1:1:1:1	1:1:1:0.93	1:1:1:1	1:1:1:1	-0.4943	hypo	hypo	21679	20.25	31.25
chr1	38638367	38638368	0.007	0:0:0:0	1:1:1:1	0:1:0:1	1:1:1:1	0:0:0:0	1:1:1:1	0:0.75:0:0.79	0.97:0.94:1:0.63	1:1:1:1	1:1:1:1	1:0.7:1:0.73	1:1:1:0.57	-1	hypo	hypo	21680	17.75	26
chr1	38638368	38638375	0.0256	0:1:0:1	1:1:1:1	0:0:1:0	1:1:1:1	0:0.75:0:0.79	0.97:0.94:1:0.63	0:0:0.85:0	1:1:0.91:1	1:0.7:1:0.73	1:1:1:0.57	1:1:1:1	1:1:1:1	-0.4977	hypo	hypo	21681	20.25	31.25
chr1	38638375	38638376	0.0014	0:0:1:0	1:1:1:1	0:0:0:0	1:1:1:1	0:0:0.85:0	1:1:0.91:1	0:0:0:0	1:0.81:1:0.96	1:1:1:1	1:1:1:1	1:1:1:1	1:0.97:1:1	-0.7667	hypo	hypo	21682	17.75	26
chr1	38639816	38639823	0.007	0.5:0.5:1:1	0:0:0:0	0:1:0:1	0:0:0:0	0.43:0.33:1:0.8	0:0:0:0	0:0.88:0:0.78	0:0:0:0	1:0.8:1:0.93	1:1:1:1	1:0.93:1:0.97	1:1:1:1	0.6405	hyper	hyper	21720	9.5	5.75
chr1	38639881	38639882	0.0406	0.5:0.5:0.5:0.5	0.5:0:0:0	1:0.5:0:0	0:0:0:0	0.5:0.25:0.5:0.7	0.57:0:0:0	0.71:0.33:0:0	0:0:0:0	1:0.6:1:0.73	1:1:1:1	0.53:0.97:1:1	1:1:1:1	0.3436	hyper	hyper	21729	9.25	8.25
chr1	38738667	38738669	0.0256	0.5:1:0.5:0.5	0:0:0:0	0:0:0:0.5	0:0:0:0	0.54:0.79:0.75:0.53	0:0:0:0	0:0:0:0.51	0:0:0:0	1:0.6:0.5:1	1:1:1:1	1:1:1:1	1:1:1:1	0.6532	hyper	hyper	21890	25.75	15.25
chr1	38740430	38740431	0.0145	0:0.5:0:0	1:0.5:0.5:0.5	0:0:0:0	1:0.5:0:0.5	0.06:0.48:0:0	1:0.59:0.73:0.5	0:0:0:0	0.75:0.44:0:0.41	1:1:1:1	1:1:0.6:0.97	1:0.97:1:1	0.77:0.93:1:1	-0.5706	hypo	hypo	22123	28.5	30
chr1	38964503	38964585	0.0373	0:0:0:0.5	1:1:0.5:1	0.5:0:0:0.5	0:1:1:0	0:0:0:0.74	0.78:1:0.6:0.78	0.46:0:0:0.61	0:1:0.9:0	1:1:1:0.7	0.6:1:0.97:0.6	1:1:1:0.97	1:1:0.9:1	-0.6053	hypo	hypo	22283	10.75	10.75
chr1	39079607	39079615	0.0373	0.5:1:0.5:1	1:0:0:0	1:1:0.5:1	0:1:0:0.5	0.5:0.83:0.7:0.78	1:0:0:0	1:0.76:0.5:0.89	0:1:0:0.69	1:0.97:0.97:0.77	1:1:1:1	1:0.9:1:1	1:1:1:0.8	0.4528	hyper	hyper	22369	20.75	9
chr1	39335841	39335868	0.0406	0:1:0:0	1:1:1:1	0:0:0:0	1:0:0:0.5	0:1:0.2:0	1:0.78:0.71:1	0:0:0:0	1:0:0:0.5	1:1:0.9:0.97	1:0.73:0.53:1	1:1:1:1	1:1:1:1	-0.573	hypo	hypo	22554	19	12.75
chr1	39384313	39384314	0.021	0.5:0:0:0.5	0.5:0.5:0.5:1	0.5:0.5:0:0	1:0.5:1:1	0.43:0:0:0.65	0.7:0.63:0.58:0.82	0.67:0.72:0:0	0.91:0.52:0.86:0.74	1:0.97:1:0.97	0.6:1:0.97:0.93	0.97:0.83:1:1	1:1:0.87:0.7	-0.4141	hypo	hypo	22573	18.25	33.5
chr1	39403179	39403180	0.0406	0.5:0:0.5:0.5	0:0:0:1	0.5:0:0.5:0.5	0:0.5:0:0	0.72:0.03:0.55:0.8	0:0:0:0.83	0.54:0:0.73:0.5	0:0.6:0:0	0.87:1:1:0.6	1:1:1:0.93	1:1:0.9:1	1:0.97:1:1	0.3154	hyper	hyper	22586	20.5	4.25
chr1	39403261	39403262	0.0373	0:0:0:0.5	0.5:1:1:1	0.5:0:0.5:0	0:0:1:1	0:0:0.05:0.6	0.33:1:0.75:1	0.62:0:0.73:0	0:0:0.78:1	1:0.97:1:0.97	0.97:1:0.73:1	0.97:1:0.6:1	1:1:1:1	-0.6095	hypo	hypo	22600	20.5	4.25
chr1	39814050	39814051	0.0406	0.5:0.5:0.5:0.5	0:0:0:0	0.5:0:0.5:0	0.5:0:0:1	0.5:0.59:0.5:0.57	0:0:0:0	0.58:0:0.47:0	0.5:0:0:1	1:1:1:0.93	1:1:1:1	1:1:1:1	1:1:1:1	0.5413	hyper	hyper	22727	15.75	9
chr1	39840637	39840647	0.0406	0.5:0:0:1	0.5:0.5:0.5:0.5	0:0:0:0	0.5:0.5:0:0	0.62:0:0:0.8	0.75:0.59:0.67:0.7	0:0:0:0	0.69:0.71:0:0	0.97:1:1:0.67	0.7:0.93:0.8:0.87	1:1:1:1	0.77:0.7:1:1	-0.3198	hypo	hypo	22750	10.5	29
chr1	40032655	40032659	0.0319	0.5:0.5:0.5:0.5	0.5:0:0:0	1:0.5:1:0.5	0:0:0.5:1	0.5:0.74:0.45:0.5	0.7:0:0:0	1:0.59:0.85:0.67	0:0:0.33:0.8	1:0.83:1:1	0.93:1:1:1	1:1:0.9:0.97	1:1:0.93:0.8	0.3741	hyper	hyper	22900	12.5	12.75
chr1	40033435	40033447	0.0145	0.5:0.5:0.5:0.5	0:0:0:0.5	0.5:0.5:0.5:0	1:0:1:0	0.71:0.31:0.74:0.67	0:0:0:0.5	0.43:0.64:0.7:0	1:0:0.83:0	0.93:0.83:0.7:0.57	1:1:1:1	1:0.83:0.8:1	1:1:0.77:1	0.4805	hyper	hyper	22943	13.75	17.25
chr1	40090102	40090144	0.0242	0:0:0:0	0.5:1:1:1	0.5:0.5:0:0	0:0.5:1:0.5	0:0:0:0	0.33:0.83:1:1	0.5:0.33:0:0	0:0.5:1:0.56	1:1:1:1	0.83:0.67:1:1	1:0.83:1:1	1:0.97:1:0.97	-0.7916	hypo	hypo	23010	15.25	4.75
chr1	40090144	NA	0.0286	0.5:0.5:0:0	0:0.5:1:0.5	NA	NA	0.5:0.33:0:0	0:0.5:1:0.56	NA	NA	1:0.83:1:1	1:0.97:1:0.97	NA	NA	-0.3056	hypo	hypo	23011	15.25	4.75
chr1	40106072	40106077	0.0039	0:0:0:0	0.5:1:0.5:0	1:0:0:0	0.5:0.5:1:0.5	0:0:0:0.04	0.67:0.85:0.44:0	1:0:0:0	0.67:0.7:0.8:0.57	1:1:1:1	0.93:0.97:1:1	1:1:1:1	0.97:0.73:0.8:0.97	-0.4783	hypo	hypo	23048	8.75	20
chr1	40168807	40168808	0.0406	0:0:0:0.5	0.5:0.5:0.5:0.5	0:0:0:0.5	0:0.5:0.5:1	0:0:0:0.62	0.5:0.64:0.4:0.33	0:0:0:0.67	0:0.5:0.5:1	1:1:1:1	1:0.97:1:0.97	1:1:1:0.97	1:1:1:0.97	-0.3128	hypo	hypo	23145	4	6
chr1	40177151	40177152	0.0014	1:0.5:1:1	0:0:0:0	0:1:1:1	0:0:0:0	1:0.38:1:1	0:0:0:0	0:1:1:1	0:0:0:0	1:0.97:1:1	1:1:1:1	1:1:1:1	1:1:1:1	0.8438	hyper	hyper	23152	13.25	10.25
chr1	40177152	40177153	0.0014	0:1:1:1	0:0:0:0	1:1:1:1	0:0:0:0	0:1:1:1	0:0:0:0	1:0.88:0.93:1	0:0:0:0	1:1:1:1	1:1:1:1	1:1:1:1	1:1:1:1	0.75	hyper	hyper	23153	11.75	12
chr1	40177153	40177154	0.0014	1:1:1:1	0:0:0:0	0.5:1:1:0	0:0:0:0	1:0.88:0.93:1	0:0:0:0	0.5:1:0.96:0	0:0:0.03:0	1:1:1:1	1:1:1:1	0.97:1:1:1	1:1:1:1	0.9502	hyper	hyper	23154	13.25	10.25
chr1	40177154	40177165	0.0101	0.5:1:1:0	0:0:0:0	1:1:1:1	0:1:0:0	0.5:1:0.96:0	0:0:0.03:0	1:1:0.81:1	0:1:0:0	0.97:1:1:1	1:1:1:1	1:1:0.9:1	1:1:1:1	0.6058	hyper	hyper	23155	11.75	12
chr1	40177165	40177166	0.0014	1:1:1:1	0:1:0:0	1:1:1:1	0:0:0:0	1:1:0.81:1	0:1:0:0	1:1:1:1	0:0:0:0	1:1:0.9:1	1:1:1:1	1:1:1:1	1:1:1:1	0.7037	hyper	hyper	23156	13.25	10.25
chr1	40177166	40177170	2e-04	1:1:1:1	0:0:0:0	1:1:1:1	0:0:0:0	1:1:1:1	0:0:0:0	1:1:1:1	0:0:0:0	1:1:1:1	1:1:1:1	1:1:1:1	1:1:1:1	1	hyper	hyper	23157	11.75	12
chr1	40177170	40177171	2e-04	1:1:1:1	0:0:0:0	1:1:1:1	0:0:0:0	1:1:1:1	0:0:0:0	1:1:1:1	0:0:0:0	1:1:1:1	1:1:1:1	1:0.97:1:1	1:1:1:1	1	hyper	hyper	23158	13.25	10.25
chr1	40177171	40177189	0.0014	1:1:1:1	0:0:0:0	0.5:0:0.5:1	0:0:0:0	1:1:1:1	0:0:0:0	0.5:0.2:0.54:0.7	0:0:0:0	1:0.97:1:1	1:1:1:1	0.97:0.9:1:0.77	1:1:1:1	1	hyper	hyper	23159	11.75	12
chr1	40177189	40177190	0.007	0.5:0:0.5:1	0:0:0:0	1:1:0:1	0:0:0:0	0.5:0.2:0.54:0.7	0:0:0:0	0.83:0.75:0:1	0:0:0:0	0.97:0.9:1:0.77	1:1:1:1	0.97:0.8:1:1	1:1:1:1	0.4856	hyper	hyper	23160	26.25	15.25
chr1	40177190	40177205	0.0014	1:1:0:1	0:0:0:0	1:1:1:1	0:0:0:0	0.83:0.75:0:1	0:0:0:0	0.88:1:1:1	0:0:0:0	0.97:0.8:1:1	1:1:1:1	0.93:1:1:1	1:1:1:1	0.6458	hyper	hyper	23161	11.75	12
chr1	40177205	40177278	2e-04	1:1:1:1	0:0:0:0	0.5:1:1:1	0:0:0:0	0.88:1:1:1	0:0:0:0	0.5:1:1:1	0:0:0:0	0.93:1:1:1	1:1:1:1	1:1:1:1	1:1:1:1	0.9688	hyper	hyper	23162	13	5
chr1	40177278	40177310	2e-04	0.5:1:1:1	0:0:0:0	1:1:1:0.5	0:0:0:0	0.5:1:1:1	0:0:0:0	1:1:1:0.5	0:0:0:0	1:1:1:1	1:1:1:1	1:1:1:1	1:1:1:1	0.875	hyper	hyper	23163	13	5
chr1	40177310	40177321	0.0026	1:1:1:0.5	0:0:0:0	0:1:1:1	0.5:0:0:0	1:1:1:0.5	0:0:0:0	0:0.88:1:1	0.65:0:0:0	1:1:1:1	1:1:1:1	1:1:1:1	0.97:1:1:1	0.875	hyper	hyper	23164	5.5	25.5
chr1	40177321	40177322	0.0014	0:1:1:1	0.5:0:0:0	1:1:1:1	0:0:0:0	0:0.88:1:1	0.65:0:0:0	1:0.9:1:1	0:0:0:0	1:1:1:1	0.97:1:1:1	1:1:1:1	1:1:1:1	0.5567	hyper	hyper	23165	5.5	25.5
chr1	40177322	40177344	0.0014	1:1:1:1	0:0:0:0	1:1:0:1	0.5:0:0:0	1:0.9:1:1	0:0:0:0	1:0.88:0:1	0.7:0:0:0	1:1:1:1	1:1:1:1	1:1:1:1	0.8:1:1:1	0.975	hyper	hyper	23166	7	22.75
chr1	40177344	40177345	0.0126	1:1:0:1	0.5:0:0:0	1:0.5:1:0	0:0:0:0	1:0.88:0:1	0.7:0:0:0	1:0.6:1:0.17	0:0:0:0	1:1:1:1	0.8:1:1:1	1:0.73:1:0.93	1:1:1:1	0.5428	hyper	hyper	23167	5.5	25.5
chr1	40177345	40177347	0.0026	1:0.5:1:0	0:0:0:0	1:1:1:1	0.5:0:0:0	1:0.6:1:0.17	0:0:0:0	1:1:1:1	0.57:0:0:0	1:0.73:1:0.93	1:1:1:1	1:1:1:0.97	1:1:1:1	0.6917	hyper	hyper	23168	7	22.75
chr1	40177347	40177348	2e-04	1:1:1:1	0.5:0:0:0	1:1:1:1	0:0:0:0	1:1:1:1	0.57:0:0:0	1:1:1:1	0:0:0:0	1:1:1:0.97	1:1:1:1	1:1:1:1	1:1:1:1	0.8565	hyper	hyper	23169	5.5	25.5
chr1	40177348	40177352	2e-04	1:1:1:1	0:0:0:0	0.5:1:1:1	0:0:0:0	1:1:1:1	0:0:0:0	0.67:1:1:1	0:0:0:0	1:1:1:1	1:1:1:1	0.63:1:1:1	1:1:1:1	1	hyper	hyper	23170	7	22.75
chr1	40177352	40177353	0.0014	0.5:1:1:1	0:0:0:0	0.5:0:1:1	0:0:0:0	0.67:1:1:1	0:0:0:0	0.67:0:1:1	0:0:0:0	0.63:1:1:1	1:1:1:1	0.57:1:1:1	1:1:1:1	0.9167	hyper	hyper	23171	5.5	25.5
chr1	40177353	40177375	0.0014	0.5:0:1:1	0:0:0:0	1:1:1:1	0:0:0:0	0.67:0:1:1	0:0:0:0	1:0.88:1:1	0:0:0:0	0.57:1:1:1	1:1:1:1	1:1:1:1	1:1:1:1	0.6667	hyper	hyper	23172	7	22.75
chr1	40177375	40177376	2e-04	1:1:1:1	0:0:0:0	1:1:1:1	0:0:0:0	1:0.88:1:1	0:0:0:0	1:1:1:1	0.02:0:0:0	1:1:1:1	1:1:1:1	1:1:1:1	1:1:1:1	0.9688	hyper	hyper	23173	5.5	25.5
chr1	40177376	40177401	2e-04	1:1:1:1	0:0:0:0	1:1:1:1	0:0:0:0	1:1:1:1	0.02:0:0:0	1:1:0.78:1	0:0:0:0	1:1:1:1	1:1:1:1	1:1:1:1	1:1:1:1	0.994	hyper	hyper	23174	7	22.75
