chr	start	end	CpG	test1_DMRfinder-N	test1_DMRfinder-X	test2_DMRfinder-N	test2_DMRfinder-X	test3_DMRfinder-N	test3_DMRfinder-X	test4_DMRfinder-N	test4_DMRfinder-X	control1_DMRfinder-N	control1_DMRfinder-X	control2_DMRfinder-N	control2_DMRfinder-X	control3_DMRfinder-N	control3_DMRfinder-X	control4_DMRfinder-N	control4_DMRfinder-X
chr21	38654380	38654635	11	27	5	196	28	85	12	212	50	322	69	81	20	257	40	379	60
chr21	38655442	38655906	29	745	162	651	129	613	128	207	54	686	183	216	36	745	109	335	55
chr21	38657642	38657710	4	27	2	143	55	130	25	40	0	NA	NA	145	0	139	0	96	30
chr21	38663370	38663464	7	77	23	42	1	NA	NA	210	38	63	20	140	29	91	16	NA	NA
chr21	38672145	38672161	3	25	4	110	45	84	12	NA	NA	31	4	132	21	176	24	NA	NA
chr21	38683896	38683964	6	210	22	132	7	180	30	36	4	378	11	NA	NA	108	8	270	25
chr21	38696585	38696643	4	22	4	81	18	NA	NA	163	11	192	0	21	2	114	44	77	14
chr21	38732830	38732998	7	247	37	481	108	76	16	154	6	103	19	248	55	329	45	326	49
chr21	38738311	38738374	9	252	45	99	15	765	122	45	11	126	11	270	32	468	135	540	63
chr21	38738528	38738883	58	2314	405	2033	497	1298	309	3537	964	2124	409	1533	242	941	144	1454	301
chr21	38738898	38739238	29	620	65	637	158	1426	378	612	97	1082	198	1256	272	599	130	2045	419
chr21	38739248	38739602	47	1821	391	925	127	1388	322	2950	467	891	159	1491	278	399	83	2361	343
chr21	38739740	38739895	23	59	7	237	49	927	125	355	65	308	58	1012	203	331	68	1663	307
chr21	38740017	38740226	23	434	92	203	27	322	59	235	48	879	209	452	82	648	87	1030	179
chr21	38740299	38740529	21	612	113	646	86	2329	444	59	10	459	113	1639	357	1229	238	862	206
chr21	38750690	38750782	4	147	11	184	36	24	6	140	22	171	43	NA	NA	NA	NA	123	12
chr21	38763031	38763167	7	NA	NA	228	43	NA	NA	180	39	516	112	NA	NA	120	16	108	16
chr21	38829491	38829627	5	112	45	NA	NA	60	21	296	69	356	104	136	43	124	44	36	10
chr21	38900549	38900616	3	216	17	90	31	162	34	456	55	NA	NA	NA	NA	NA	NA	264	59
chr21	38918758	38919000	9	295	59	117	17	234	23	224	46	214	27	323	86	149	41	649	131
chr21	38922349	38922552	5	24	1	224	54	NA	NA	48	12	108	43	148	37	220	30	NA	NA
chr21	38923493	38923603	5	612	156	20	5	108	21	28	4	120	12	92	7	28	9	NA	NA
chr21	38926632	38926834	11	NA	NA	371	98	767	177	177	42	47	10	223	20	189	51	77	22
chr21	38934052	38934119	3	24	1	NA	NA	NA	NA	111	7	NA	NA	63	8	24	1	99	0
chr21	38935404	38935584	8	195	16	417	59	243	30	300	3	215	49	27	9	295	35	376	71
chr21	38936067	38936347	36	1211	296	362	69	339	60	1589	458	1029	207	158	36	364	74	4193	890
chr21	38936361	38936650	16	382	84	290	69	306	28	38	7	559	187	416	87	1356	174	621	127
chr21	38954116	38954172	3	281	75	NA	NA	48	14	144	19	68	14	203	66	63	29	NA	NA
chr21	38960069	38960206	3	108	12	94	1	58	10	165	0	136	0	79	18	81	0	165	37
chr21	38964251	38964590	13	112	41	277	38	177	46	259	55	187	31	131	15	439	105	451	121
chr21	38966541	38966604	3	96	16	189	28	NA	NA	NA	NA	51	8	36	7	186	0	72	15
chr21	38969449	38969675	13	663	113	218	27	260	36	291	63	226	59	257	53	560	167	438	79
chr21	38978443	38978596	4	33	5	114	22	54	2	162	0	36	7	156	48	150	31	36	0
chr21	38990375	38990451	4	106	10	94	37	NA	NA	163	27	73	6	83	4	125	27	76	23
chr21	39018714	39018775	3	NA	NA	107	36	NA	NA	NA	NA	21	0	NA	NA	NA	NA	NA	NA
chr21	39018879	39019133	14	82	19	301	46	830	170	367	65	384	57	209	13	448	46	643	70
chr21	39037191	39037258	5	155	25	NA	NA	85	8	95	9	465	45	120	0	135	33	65	13
chr21	39039780	39039930	8	191	122	387	183	33	16	325	184	238	170	281	209	437	324	215	122
chr21	39057706	39057840	6	45	22	155	97	365	248	30	16	235	103	190	97	200	103	205	101
chr21	39079416	39079614	5	NA	NA	304	177	276	166	88	31	72	48	NA	NA	20	8	268	146
chr21	39083518	39083574	3	93	55	NA	NA	30	8	66	12	177	67	261	122	135	45	87	29
chr21	39129038	39129204	4	161	87	110	30	149	67	122	32	61	15	69	26	53	7	44	14
chr21	39129904	39130011	3	57	23	111	43	43	9	248	76	66	24	162	1	84	29	272	83
chr21	39135205	39135351	6	32	11	208	67	227	78	319	123	296	92	34	9	191	79	NA	NA
chr21	39140486	39140684	4	NA	NA	123	73	83	44	83	47	36	24	129	69	51	21	78	30
chr21	39167904	39167971	4	52	16	136	42	48	18	92	44	64	32	416	149	184	85	52	21
chr21	39200584	39200703	5	280	134	92	36	36	23	524	355	72	40	108	36	184	111	68	38
chr21	39204629	39204792	7	NA	NA	36	16	96	42	132	52	318	182	NA	NA	NA	NA	426	255
chr21	39205409	39205612	4	46	15	NA	NA	60	26	NA	NA	NA	NA	59	28	43	17	47	29
chr21	39216453	39216654	7	84	41	376	140	96	42	NA	NA	162	60	281	172	NA	NA	NA	NA
chr21	39265248	39265452	9	140	86	NA	NA	245	143	105	55	NA	NA	707	329	59	34	NA	NA
chr21	39269094	39269179	3	43	26	129	58	151	66	NA	NA	211	90	25	23	35	5	50	26
chr21	39285844	39286045	10	190	93	177	94	NA	NA	34	17	45	17	36	22	NA	NA	454	296
chr21	39286752	39286861	12	187	11	1837	179	275	37	319	45	341	20	22	3	132	30	253	28
chr21	39288409	39288791	35	503	70	932	112	1409	181	2189	175	2566	303	1107	145	1578	105	453	66
chr21	39288798	39289184	25	758	98	849	93	385	88	488	112	1026	82	2583	447	408	71	320	28
chr21	39334792	39334992	10	236	68	106	24	294	114	286	140	110	36	470	121	384	182	122	12
chr21	39335796	39335868	3	293	86	NA	NA	53	40	69	25	NA	NA	94	48	138	60	NA	NA
chr21	39337699	39337879	4	NA	NA	114	77	99	58	117	43	273	121	33	9	90	57	105	42
chr21	39348672	39348820	9	32	13	144	70	392	166	720	377	96	43	264	63	432	159	24	8
chr21	39384261	39384329	6	156	40	366	168	150	31	216	88	270	94	498	206	156	45	564	204
chr21	39397970	39398043	3	108	30	99	15	39	5	102	30	378	47	21	3	165	17	93	32
chr21	39403131	39403314	11	292	116	781	245	425	149	87	44	266	100	66	20	127	54	117	41
chr21	39491288	39491490	9	1044	469	96	37	84	31	192	85	120	42	78	29	471	182	57	27
chr21	39538480	39538549	3	NA	NA	96	44	NA	NA	69	34	51	10	NA	NA	NA	NA	NA	NA
chr21	39579002	39579048	3	NA	NA	321	99	72	10	183	38	NA	NA	72	16	75	19	204	75
chr21	39660843	39660975	7	282	138	NA	NA	306	98	NA	NA	180	74	24	11	102	51	156	67
chr21	39671474	39671666	5	136	68	184	72	324	37	NA	NA	44	23	140	55	44	15	20	10
chr21	39676758	39676926	9	64	19	248	103	1936	707	408	183	304	104	24	12	288	110	1248	561
chr21	39685241	39685371	5	20	9	208	33	24	10	44	17	32	11	NA	NA	80	50	292	156
chr21	39686382	39686591	4	154	61	NA	NA	62	13	197	67	24	7	28	9	95	40	94	47
chr21	39690985	39691188	6	123	40	63	25	27	13	267	72	240	95	459	36	111	74	324	31
chr21	39724320	39724485	4	144	56	42	20	75	37	126	88	NA	NA	351	172	NA	NA	288	0
chr21	39726252	39726379	6	25	8	20	7	135	27	150	51	45	17	135	64	55	21	190	80
chr21	39748479	39748568	3	342	83	138	35	NA	NA	NA	NA	42	19	217	117	NA	NA	125	65
chr21	39755553	39755719	13	396	164	468	168	144	61	660	309	288	110	72	27	552	223	264	81
chr21	39773468	39773654	6	25	10	90	43	45	18	140	61	335	127	300	154	95	39	155	58
chr21	39776393	39776434	3	NA	NA	30	8	327	114	93	40	36	15	177	15	24	6	27	4
chr21	39809108	39809306	7	NA	NA	481	265	150	52	551	353	120	59	233	126	132	60	84	26
chr21	39812364	39812465	5	NA	NA	60	33	284	96	316	140	NA	NA	40	17	40	16	36	13
chr21	39813857	39814272	12	1095	382	375	143	178	73	494	221	333	179	181	102	260	52	123	44
chr21	39814891	39815025	7	426	134	600	237	NA	NA	162	80	270	74	150	72	24	11	90	51
chr21	39840636	39840764	8	64	29	184	30	48	6	40	8	128	51	328	125	96	31	376	92
chr21	39844920	39844960	3	63	5	93	11	48	23	39	10	48	16	45	11	243	53	237	56
chr21	39855642	39855711	4	312	79	124	47	88	30	60	25	NA	NA	56	26	20	12	92	34
chr21	39858316	39858401	3	81	8	NA	NA	NA	NA	75	12	84	25	51	3	NA	NA	NA	NA
chr21	39862516	39862696	6	160	43	105	39	140	47	115	60	NA	NA	165	25	290	56	120	69
chr21	39916187	39916274	3	NA	NA	119	10	114	36	97	29	73	19	33	3	73	31	33	17
chr21	39931698	39931902	6	70	26	45	18	35	12	55	27	95	48	355	129	125	46	45	24
chr21	39951837	39952039	11	64	31	677	305	271	140	164	46	135	52	659	307	209	95	92	32
chr21	39959443	39959571	11	210	70	30	15	60	23	780	326	120	46	210	82	NA	NA	750	277
chr21	39971531	39971573	4	184	30	92	31	540	140	64	27	NA	NA	172	92	460	209	NA	NA
chr21	39975894	39976102	14	737	316	39	8	321	137	116	30	38	19	285	120	401	138	194	75
chr21	39979412	39979482	3	69	15	NA	NA	51	24	36	15	NA	NA	39	21	24	3	NA	NA
chr21	39985617	39985671	3	102	57	52	41	92	34	NA	NA	39	11	36	18	NA	NA	72	19
chr21	40008660	40008719	3	94	48	NA	NA	116	22	91	34	NA	NA	185	89	42	20	213	20
chr21	40032322	40032679	55	754	304	1456	496	4618	1797	1614	621	3012	1158	836	381	865	248	416	141
chr21	40032913	40032996	5	155	46	135	52	420	178	60	28	70	35	50	23	220	53	495	203
chr21	40033374	40033634	29	1037	506	697	246	2503	1180	872	366	444	139	602	242	336	153	2050	853
chr21	40075023	40075235	13	84	35	384	140	834	318	72	27	72	34	72	33	24	8	596	227
chr21	40090011	40090143	7	84	38	21	5	315	85	NA	NA	21	9	42	24	NA	NA	63	40
chr21	40105584	40105945	17	730	238	162	62	216	131	1165	391	185	67	228	90	199	48	567	231
chr21	40105968	40106319	20	92	32	403	121	721	324	739	306	234	66	771	283	1114	413	773	305
chr21	40116327	40116750	16	108	48	584	243	381	114	167	80	221	100	1125	587	607	193	215	78
chr21	40117572	40117639	4	24	12	76	12	132	22	256	44	32	8	28	11	84	0	44	18
chr21	40119276	40119366	3	NA	NA	291	114	107	43	264	97	NA	NA	NA	NA	NA	NA	117	36
chr21	40123040	40123310	12	388	90	107	22	396	60	343	125	357	137	151	71	158	37	92	30
chr21	40123989	40124166	3	76	42	42	13	NA	NA	52	13	28	18	40	15	NA	NA	50	24
chr21	40128419	40128487	4	76	37	316	140	88	21	224	52	36	13	24	4	276	74	76	14
chr21	40140395	40140549	8	434	228	49	25	42	17	NA	NA	98	33	98	46	294	81	203	108
chr21	40141492	40141569	4	540	200	23	9	78	29	139	77	21	17	21	9	224	75	50	17
chr21	40159197	40159584	10	154	42	94	31	428	147	120	71	260	84	302	146	380	129	510	180
chr21	40177142	40177548	32	614	488	1241	994	1302	1008	424	331	1487	174	738	12	1186	2	536	7
chr21	40177852	40178225	38	1118	900	1059	867	1822	1540	1133	902	1797	49	889	29	1756	71	1035	64
chr21	40178274	40178619	35	819	696	700	600	364	313	587	526	611	19	1039	26	2049	115	831	20
chr21	40190221	40190427	8	388	306	554	416	NA	NA	101	76	NA	NA	NA	NA	106	81	63	41
chr21	40194607	40194820	20	1325	839	376	253	836	633	1483	925	216	114	463	282	1349	903	2095	1720
chr21	40196367	40196484	6	30	24	115	89	85	53	275	204	175	146	240	191	20	16	175	112
chr21	40208410	40208545	8	105	72	77	62	NA	NA	602	402	224	143	168	125	378	187	427	234
chr21	40210389	40210468	3	127	80	46	34	NA	NA	32	7	76	30	299	173	119	77	97	48
chr21	40220344	40220443	4	147	98	NA	NA	203	93	NA	NA	301	131	40	19	207	66	530	367
chr21	40239264	40239324	6	90	52	31	15	444	332	99	66	161	113	866	567	33	17	310	158
chr21	40286783	40286891	4	147	128	51	24	114	95	42	35	252	176	81	71	48	25	216	123
chr21	40296274	40296341	8	NA	NA	112	71	NA	NA	32	12	336	217	152	105	136	87	32	17
chr21	40312163	40312237	3	NA	NA	102	67	NA	NA	NA	NA	NA	NA	34	19	30	14	42	40
chr21	40316372	40316570	7	27	14	35	26	35	32	30	21	300	193	108	80	235	101	278	197
chr21	40316682	40317023	17	194	140	327	181	487	292	166	99	680	512	85	54	412	322	327	199
chr21	40344574	40344649	5	25	15	125	79	225	101	40	26	25	16	65	35	NA	NA	25	18
chr21	40348819	40348903	3	42	26	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	138	49	204	111
chr21	40352462	40352568	3	NA	NA	NA	NA	330	206	40	31	52	41	30	23	94	59	78	50
chr21	40353158	40353411	10	218	145	118	63	142	76	72	48	202	101	270	188	60	38	102	35
chr21	40354620	40354836	15	125	86	205	127	525	390	330	283	1075	774	240	143	315	213	75	47
chr21	40357663	40358075	13	519	294	149	85	129	70	806	308	226	145	380	279	896	554	147	119
chr21	40367427	40367550	4	NA	NA	NA	NA	69	57	243	194	66	57	NA	NA	99	76	45	28
chr21	40372116	40372162	3	93	33	45	29	69	34	69	21	309	171	NA	NA	63	30	42	26
chr21	40374719	40374931	6	199	114	78	39	109	74	114	67	279	154	325	212	158	76	239	129
chr21	40376798	40376866	3	60	42	NA	NA	130	112	NA	NA	57	52	23	22	NA	NA	94	62
chr21	40376984	40377014	4	78	58	NA	NA	182	98	NA	NA	81	35	37	26	29	25	122	89
chr21	40382611	40382751	4	141	103	27	16	234	159	420	297	33	17	75	64	54	28	57	50
chr21	40383642	40383814	6	112	86	226	125	42	35	109	77	25	19	253	195	NA	NA	113	64
chr21	40385837	40385980	6	30	19	435	354	95	64	30	20	NA	NA	55	34	30	23	NA	NA
chr21	40392796	40392899	3	NA	NA	54	21	38	26	66	53	34	28	NA	NA	26	15	218	132
chr21	40393910	40394114	8	91	69	770	567	NA	NA	28	19	42	25	399	288	273	176	672	439
chr21	40394853	40394900	3	159	74	87	58	273	168	NA	NA	93	58	21	16	94	39	104	43
chr21	40395460	40395646	5	51	23	236	137	197	103	147	81	47	16	NA	NA	69	38	355	205
chr21	40406733	40406781	3	NA	NA	90	15	108	49	42	17	264	139	21	11	NA	NA	93	42
chr21	40413904	40414070	3	26	15	72	57	32	14	94	49	60	42	NA	NA	42	18	44	38
chr21	40426143	40426353	4	24	21	NA	NA	96	38	207	169	27	24	258	205	NA	NA	54	36
chr21	40429787	40429991	6	231	128	132	66	168	88	63	29	45	30	NA	NA	81	61	150	87
chr21	40454657	40454789	9	284	186	148	80	414	188	482	270	295	78	452	180	1145	646	530	395
chr21	40455434	40455575	4	171	138	267	146	168	40	135	88	45	27	144	131	NA	NA	NA	NA
chr21	40456553	40456621	4	160	102	192	79	112	23	100	23	100	68	NA	NA	144	89	NA	NA
chr21	40458677	40458865	5	276	235	28	19	76	55	192	103	99	92	96	67	NA	NA	28	23
chr21	40459320	40459560	12	414	268	84	47	359	254	424	211	98	68	194	129	474	271	429	317
chr21	40459699	40459853	9	365	208	150	84	194	109	72	53	447	266	198	153	359	151	140	96
chr21	40462420	40462568	3	30	19	22	19	174	147	50	41	56	49	60	53	120	94	58	54
chr21	40463975	40464084	7	252	158	NA	NA	NA	NA	91	48	119	93	NA	NA	98	66	NA	NA
chr21	40466899	40466957	3	29	23	128	90	510	367	29	20	65	41	NA	NA	NA	NA	65	57
chr21	40485750	40485808	3	NA	NA	113	96	54	47	55	49	185	114	24	18	57	22	52	34
chr21	40488832	40488978	4	20	11	119	60	90	33	133	61	157	30	23	8	100	47	169	75
chr21	40498678	40498773	4	67	47	40	23	35	19	296	162	NA	NA	499	152	73	48	27	17
chr21	40508585	40508703	3	38	33	NA	NA	56	47	170	106	172	158	40	32	NA	NA	208	165
chr21	40510592	40510896	17	364	271	347	216	446	342	292	152	95	61	194	154	307	205	126	83
chr21	40528602	40528753	10	250	184	NA	NA	310	187	160	96	130	86	110	68	50	39	200	182
chr21	40529163	40529500	27	251	158	957	650	1457	914	453	280	557	356	1129	744	2300	1558	685	433
chr21	40542408	40542515	4	24	22	96	58	45	23	NA	NA	33	14	57	26	345	259	147	128
chr21	40555096	40555326	27	81	69	1745	1185	1198	981	1568	1213	400	31	644	61	611	26	112	3
chr21	40555724	40555889	17	1040	901	464	426	864	672	400	294	848	74	1072	3	464	10	608	1
chr21	40586985	40587092	6	125	22	100	36	135	8	125	38	150	35	120	20	200	51	75	16
chr21	40600070	40600231	7	264	32	198	38	NA	NA	30	6	336	52	NA	NA	NA	NA	276	31
chr21	40617785	40617823	3	NA	NA	83	13	73	24	28	9	116	27	31	0	NA	NA	NA	NA
chr21	40618726	40618774	4	58	9	NA	NA	396	107	135	58	57	0	36	10	216	68	155	35
chr21	40618896	40618928	3	44	6	NA	NA	288	76	93	17	39	11	30	7	156	21	115	0
chr21	40627058	40627262	8	833	151	217	46	224	53	21	4	140	28	161	29	168	42	98	12
chr21	40631377	40631508	5	199	38	88	45	130	16	23	0	64	4	131	43	200	33	105	14
chr21	40637207	40637274	6	378	99	30	3	360	82	408	31	NA	NA	138	27	90	7	66	0
chr21	40639381	40639449	7	105	21	21	6	28	0	126	13	NA	NA	NA	NA	NA	NA	133	36
chr21	40653612	40653767	6	87	0	30	7	63	17	132	18	NA	NA	174	11	129	11	96	14
chr21	40658601	40658735	7	NA	NA	474	57	78	12	126	22	108	9	198	36	204	39	NA	NA
chr21	40661672	40661875	15	435	42	780	108	65	9	65	10	30	3	270	41	65	17	105	29
chr21	40665191	40665275	3	66	16	183	11	21	0	120	12	60	13	201	30	30	3	54	15
chr21	40667273	40667408	11	40	3	100	27	NA	NA	230	36	240	53	920	168	NA	NA	420	43
chr21	40681472	40681675	14	224	43	112	34	161	15	77	23	357	57	28	8	350	39	154	38
chr21	40684644	40685079	46	1540	267	2739	695	440	104	1411	317	889	161	1141	195	855	129	3168	661
chr21	40685090	40685528	52	1202	187	1474	261	1790	368	823	244	524	93	1108	166	2196	499	2204	396
chr21	40685531	40685966	47	970	138	790	153	601	148	805	213	584	105	2517	317	1261	168	2113	450
chr21	40685981	40686414	42	1091	255	912	112	589	118	848	168	1041	311	1018	258	2214	480	1653	414
chr21	40687015	40687083	6	NA	NA	150	6	78	14	378	71	54	10	36	10	588	172	228	44
chr21	40693096	40693227	3	48	8	125	24	NA	NA	30	16	126	9	77	46	183	22	151	9
chr21	40699685	40699799	5	88	19	NA	NA	184	55	56	16	84	11	52	5	44	7	116	41
chr21	40703452	40703653	10	242	49	44	10	72	19	27	8	62	10	61	12	NA	NA	34	5
chr21	40704401	40704437	3	NA	NA	177	71	NA	NA	NA	NA	22	5	269	76	37	5	NA	NA
chr21	40704543	40704597	3	NA	NA	183	0	NA	NA	NA	NA	NA	NA	266	37	33	0	NA	NA
chr21	40707547	40707856	16	387	90	265	27	559	126	309	39	45	4	493	61	523	56	378	70
chr21	40712007	40712123	6	80	0	55	17	145	18	155	38	30	9	310	33	NA	NA	290	101
chr21	40720584	40720998	61	971	580	1138	645	1221	682	3009	1601	2166	97	1430	64	1448	47	1033	38
chr21	40721010	40721426	32	880	521	601	306	1031	567	1143	644	897	22	1169	37	672	57	1227	16
chr21	40729972	40730041	3	57	0	NA	NA	138	0	36	0	147	18	90	14	27	4	NA	NA
chr21	40737630	40737689	3	36	0	117	0	81	12	NA	NA	66	0	24	4	72	3	33	11
chr21	40737995	40738198	6	49	0	79	0	87	30	79	33	84	2	163	16	205	16	66	0
chr21	40744450	40744518	3	51	1	21	0	NA	NA	21	0	NA	NA	30	0	NA	NA	87	0
chr21	40744969	40745100	10	207	9	297	33	1017	42	387	46	90	12	81	12	189	27	369	1
chr21	40752145	40752579	43	922	114	659	21	956	70	445	51	147	19	986	69	1146	118	1613	192
chr21	40752631	40753024	18	327	22	978	67	104	7	156	5	64	12	790	130	629	121	1059	64
chr21	40754969	40755040	3	33	2	NA	NA	72	1	42	0	75	0	NA	NA	NA	NA	90	0
chr21	40760657	40760729	8	96	47	40	21	536	295	264	128	136	78	NA	NA	192	69	424	203
chr21	40762223	40762332	5	371	236	44	12	105	53	258	140	83	24	189	81	NA	NA	52	20
chr21	40763192	40763253	4	64	32	NA	NA	184	83	352	163	36	18	212	41	92	39	124	59
chr21	40768188	40768537	19	386	221	274	170	687	375	583	323	315	200	669	396	500	309	390	244
chr21	40775345	40775534	15	780	400	348	196	418	256	951	518	634	268	73	40	202	107	428	273
chr21	40775842	40775973	5	392	210	148	87	96	72	156	68	NA	NA	116	65	28	17	24	16
chr21	40785990	40786183	6	110	75	25	16	125	81	35	22	150	100	337	169	330	202	165	115
chr21	40796031	40796127	5	NA	NA	239	162	234	141	202	122	136	87	NA	NA	75	40	58	32
chr21	40817359	40817630	23	315	223	234	176	790	593	573	474	623	27	676	45	1062	85	234	0
chr21	40817639	40817913	38	835	673	1124	1006	454	379	1668	1366	1397	110	813	16	1868	74	610	58
chr21	40822346	40822525	6	310	189	50	26	105	68	NA	NA	430	189	200	82	25	11	75	43
chr21	40830664	40830868	8	36	20	25	16	62	33	132	77	55	17	NA	NA	NA	NA	224	83
chr21	40839977	40840086	3	44	25	180	104	80	63	100	70	52	15	34	16	NA	NA	86	59
chr21	40857774	40857905	9	63	28	90	33	36	9	126	73	135	67	108	48	567	315	126	58
chr21	40860600	40860662	3	213	66	NA	NA	21	9	NA	NA	306	120	249	87	NA	NA	NA	NA
chr21	40868288	40868402	10	100	53	30	23	490	257	130	83	70	35	200	93	NA	NA	110	53
chr21	40873821	40874023	8	786	366	398	202	142	81	166	82	89	51	151	96	41	22	434	178
chr21	40884575	40884643	3	159	48	99	22	42	14	36	16	39	18	36	7	36	16	NA	NA
chr21	40889811	40890018	5	139	65	112	41	66	24	405	241	50	22	43	18	39	21	42	25
chr21	40891195	40891422	7	71	33	382	192	75	28	231	56	231	73	192	61	183	80	297	110
chr21	40900549	40900607	3	134	75	438	242	28	11	49	32	81	34	435	165	27	13	23	11
chr21	40902745	40902765	4	187	96	217	93	124	68	298	166	NA	NA	83	48	NA	NA	246	91
chr21	40905198	40905331	4	174	50	NA	NA	NA	NA	87	61	114	42	102	53	NA	NA	NA	NA
chr21	40930720	40930861	4	45	17	201	121	255	136	108	64	51	10	96	67	162	77	135	48
chr21	40938222	40938359	7	60	23	138	56	NA	NA	28	12	46	26	504	266	56	32	312	197
chr21	40939443	40939522	6	372	113	210	95	264	69	36	14	24	12	318	162	30	16	150	50
chr21	40951953	40952054	5	120	38	32	13	52	32	96	53	152	73	NA	NA	112	59	NA	NA
chr21	40976273	40976386	8	371	186	357	209	203	112	371	169	336	144	308	99	266	95	581	235
chr21	40983352	40983679	12	24	10	913	476	150	80	90	46	144	47	313	184	262	124	146	82
chr21	40984279	40984613	17	231	123	386	159	421	200	126	68	424	175	441	201	88	36	422	205
chr21	40984631	40984976	35	1061	501	815	394	377	173	682	322	902	335	1681	879	930	408	975	465
chr21	40991827	40992044	7	41	25	90	49	238	83	62	19	53	35	103	51	60	24	42	24
chr21	41019426	41019570	6	40	25	85	52	450	300	80	44	95	61	65	36	165	103	50	16
chr21	41021308	41021485	3	100	34	76	47	30	16	96	70	NA	NA	58	36	26	16	NA	NA
chr21	41028083	41028292	7	376	236	138	58	162	65	42	26	324	175	24	10	108	48	353	153
chr21	41033393	41033440	3	318	148	126	21	54	22	48	13	NA	NA	78	28	210	68	NA	NA
chr21	41035889	41035994	4	102	67	51	31	NA	NA	NA	NA	84	33	54	38	45	15	NA	NA
chr21	41039727	41039782	5	367	157	171	81	146	53	43	23	21	9	175	117	78	36	75	36
chr21	41045310	41045395	3	78	18	24	7	183	39	81	11	90	29	24	11	108	33	45	20
chr21	41048806	41048874	3	NA	NA	126	55	NA	NA	57	18	NA	NA	NA	NA	57	24	27	0
chr21	41052878	41052946	4	NA	NA	180	69	100	30	68	38	NA	NA	52	11	116	57	20	8
chr21	41109423	41109637	6	80	36	347	80	400	171	68	9	422	158	130	62	170	96	110	35
chr21	41121300	41121439	6	40	27	NA	NA	50	32	380	230	NA	NA	NA	NA	30	17	50	22
chr21	41122900	41122947	3	144	49	NA	NA	NA	NA	66	24	147	29	84	29	NA	NA	60	27
chr21	41135454	41135565	3	NA	NA	54	28	NA	NA	138	47	66	34	62	36	48	17	42	17
chr21	41142939	41142996	3	45	18	NA	NA	NA	NA	33	14	51	25	81	22	NA	NA	NA	NA
chr21	41144100	41144155	3	78	25	NA	NA	33	13	96	22	186	67	45	19	57	30	45	20
chr21	41169441	41169568	4	210	137	45	25	123	52	NA	NA	NA	NA	135	87	153	96	102	52
chr21	41170339	41170389	3	NA	NA	NA	NA	186	75	36	14	357	48	NA	NA	102	43	33	6
chr21	41192903	41193038	6	230	119	125	75	190	86	205	99	65	22	425	154	20	10	195	118
chr21	41213360	41213439	4	438	215	79	33	NA	NA	202	107	NA	NA	260	172	85	42	158	44
chr21	41238470	41238612	4	102	50	84	36	45	26	45	17	30	19	162	69	30	20	99	63
chr21	41252611	41252707	3	176	68	NA	NA	80	30	38	11	141	73	192	46	66	25	34	11
chr21	41257688	41257904	5	111	51	199	123	357	171	221	84	89	38	236	120	57	15	63	28
chr21	41277701	41277829	6	NA	NA	NA	NA	30	16	78	40	384	221	102	63	84	45	36	15
chr21	41308542	41308677	6	137	53	NA	NA	93	35	225	101	103	36	998	493	138	61	NA	NA
chr21	41331606	41331743	4	NA	NA	60	34	NA	NA	69	24	NA	NA	21	13	NA	NA	33	15
chr21	41376856	41377058	11	387	206	63	38	226	115	295	127	309	173	173	79	302	143	510	197
chr21	41385013	41385196	13	114	54	605	253	260	115	375	126	942	356	227	62	121	48	446	179
chr21	41400686	41400752	7	448	177	63	18	308	146	469	140	NA	NA	119	47	210	78	35	12
chr21	41413389	41413596	5	124	79	52	33	80	52	312	157	148	57	92	43	64	31	132	85
chr21	41429990	41430098	6	NA	NA	NA	NA	65	34	20	6	155	81	110	42	110	57	290	164
chr21	41444434	41444564	6	179	77	120	48	NA	NA	108	62	24	15	42	24	90	33	437	262
chr21	41454957	41455077	3	52	32	322	157	NA	NA	74	42	42	15	34	3	NA	NA	96	47
chr21	41460044	41460159	3	44	11	NA	NA	NA	NA	52	34	162	110	52	24	90	50	34	13
chr21	41488651	41488853	12	627	298	297	160	869	356	363	185	517	217	121	65	253	103	99	26
chr21	41515440	41515705	20	298	122	741	353	36	13	2155	1015	351	109	675	309	703	309	465	221
chr21	41516354	41516466	9	120	48	540	192	245	69	210	101	680	282	110	36	330	120	470	230
chr21	41516786	41517075	11	607	250	242	80	975	421	564	280	74	32	243	72	132	62	254	102
chr21	41550841	41550907	8	240	86	296	120	448	199	80	26	NA	NA	184	105	504	258	640	323
chr21	41625668	41625726	3	177	82	129	57	57	8	NA	NA	57	26	NA	NA	NA	NA	93	42
chr21	41627207	41627381	4	339	230	543	298	63	25	30	18	159	106	45	29	135	62	75	55
chr21	41641327	41641460	4	327	217	57	39	63	36	NA	NA	312	183	27	15	NA	NA	102	69
chr21	41654236	41654341	10	270	177	80	55	520	321	90	63	290	164	230	168	20	10	150	66
chr21	41663512	41663564	3	57	27	27	12	NA	NA	36	16	183	77	NA	NA	72	28	186	72
chr21	41677038	41677132	4	NA	NA	133	95	121	86	236	152	213	116	48	34	47	27	42	26
chr21	41684055	41684166	4	75	52	108	75	27	18	153	63	NA	NA	NA	NA	NA	NA	NA	NA
chr21	41687047	41687255	5	NA	NA	148	93	120	49	40	19	NA	NA	176	104	24	18	220	89
chr21	41711123	41711284	11	140	94	710	476	170	90	350	239	820	506	100	62	30	15	460	261
